MPA_id,vessels in 2014,vessels in 2015,vessels in 2016
1,14 (6.2%),11 (4.6%),7 (2.8%)
2,27 (12.1%),21 (8.7%),10 (4%)
3,111 (49.6%),106 (44%),115 (45.6%)
4,42 (18.8%),41 (17%),71 (28.2%)
5,5 (2.2%),3 (1.2%),1 (0.4%)
6,9 (4%),8 (3.3%),6 (2.4%)
8,5 (2.2%),5 (2.1%),5 (2%)
10,82 (36.6%),92 (38.2%),116 (46%)
11,106 (47.3%),107 (44.4%),120 (47.6%)
12,94 (42%),99 (41.1%),112 (44.4%)
13,5 (2.2%),14 (5.8%),11 (4.4%)
14,7 (3.1%),12 (5%),16 (6.3%)
