lat_bin_center,lon_bin_center,fishing_days,fishing_hours,fishing_kwh
-44.625,-63.625,53,294.4770833333322,279644.9808352064
-46.125,-64.875,1,0.39111111111111097,755.4339479690665
-42.875,-60.125,2,10.741944444444444,14730.407987851559
-45.125,-66.375,1,2.4529166666666664,3363.6799600921413
-45.375,-64.875,7,12.19805555555556,12198.746345374188
-42.125,-60.625,1,2.9306944444444447,4018.855718130586
-44.375,-61.625,6,42.16374999999999,48924.98359584082
-44.375,-64.625,4,17.60291666666667,10469.017301362945
-38.625,-58.625,2,5.118611111111111,6067.065813327001
-52.875,-63.875,1,5.1075,5784.810247596375
-52.125,-65.125,4,18.14388888888888,20651.897906999035
-46.125,-62.375,9,90.75166666666667,106599.20680595838
-48.125,-61.875,3,25.01000000000001,49159.457834515524
-47.375,-63.125,13,468.7815277777779,595613.4010042407
-48.875,-63.625,4,28.557361111111103,32344.378893757374
-49.875,-66.625,1,0.8254166666666667,934.8759259657708
-49.375,-63.875,1,1.6193055555555556,1834.0431466994653
-47.625,-62.625,37,182.90611111111127,234511.9869740573
-42.625,-61.125,4,28.952361111111106,39989.31357074973
-44.125,-60.875,10,45.56430555555554,51528.33027760479
-44.125,-61.875,2,17.12152777777778,28581.382666717305
-51.875,-66.125,2,3.7408333333333337,5195.74193273751
-53.875,-63.625,74,238.03847222222134,863841.4293982394
-42.625,-60.375,2,2.727361111111111,5219.815253565577
-42.375,-61.625,1,1.2152777777777777,1801.7782958437501
-46.625,-60.875,1,4.767222222222223,7544.422422532355
-41.875,-58.125,1,7.577361111111111,11234.242112725426
-47.125,-64.625,1,4.280416666666667,7173.7752481513035
-46.125,-60.875,1,0.7998611111111111,1340.529272659832
-42.375,-58.625,11,86.40472222222223,107228.17837421468
-39.875,-56.125,7,48.488194444444446,79942.30446434607
-45.875,-63.125,1,12.06652777777778,18683.493900038044
-47.375,-61.125,29,187.9977777777778,316815.36765113816
-44.375,-63.875,7,76.45138888888891,52630.131625012145
-50.375,-64.625,1,7.543194444444445,9593.372081706368
-52.625,-65.375,1,7.425,8205.15471130575
-44.625,-64.375,2,10.972777777777777,11140.8508053014
-40.375,-55.125,2,17.819722222222218,21776.250648063993
-55.375,-65.625,3,17.28736111111112,21125.688936367922
-42.625,-63.125,1,0.4327777777777778,475.61616070942216
-44.875,-61.375,1,8.327222222222222,12428.178969419056
-46.125,-61.125,2,19.80138888888888,18169.61964326197
-50.875,-68.625,14,132.80763888888907,102190.92508246066
-48.125,-65.625,3,4.543472222222224,2976.270420264842
-44.125,-63.625,17,49.277777777777835,82260.59274103669
-45.625,-63.125,7,24.0881944444444,40211.0087430714
-45.625,-67.125,2,7.72402777777778,0
-48.625,-61.125,6,28.084027777777784,86482.71771539946
-41.625,-62.125,5,18.891666666666662,25573.098100150517
-46.625,-64.625,2,18.751388888888886,14390.8710743623
-46.875,-64.625,2,7.72861111111111,7892.453880573661
-45.625,-62.625,1,0.3798611111111111,291.5267934847854
-53.875,-64.125,9,25.591388888888876,90430.75544801107
-55.375,-65.625,2,2.7474999999999996,9693.472431591197
-54.125,-62.375,1,2.4331944444444438,8978.174227748186
-44.375,-59.875,1,3.1929166666666666,5695.289462023155
-36.875,-55.125,1,4.445416666666667,6095.991420795491
-38.375,-55.625,1,0.33777777777777773,463.1940242876444
-41.125,-59.375,1,0.4681944444444444,1206.1066199160095
-41.625,-60.875,1,4.611249999999998,5067.6932450941995
-50.375,-65.125,5,31.698333333333334,61573.88806443296
-57.125,-66.875,5,21.232222222222212,25946.43099149537
-49.125,-67.625,11,28.72805555555557,72914.30992629331
-50.875,-64.875,2,1.3068055555555553,3352.5554233136704
-51.125,-64.625,1,0.9666666666666667,2479.9432188609994
-52.375,-67.375,1,0.3011111111111111,292.24862345442887
-51.625,-67.375,1,3.2445833333333334,2520.1902162487645
-44.375,-62.875,9,35.75111111111111,33905.95076036434
-44.375,-63.375,15,148.9154166666666,141229.70246342683
-49.375,-64.125,2,1.1873611111111106,3046.125657764754
-42.125,-62.625,3,3.4158333333333335,5329.16012325025
-47.625,-65.625,9,17.215833333333336,23716.836107606166
-47.375,-61.625,2,27.125138888888888,32151.3002770005
-42.625,-58.875,5,74.93916666666664,111746.78040151483
-40.875,-57.625,18,115.88208333333334,123372.21145265365
-40.625,-57.375,37,229.88513888888892,279412.79008990695
-38.375,-57.875,1,5.272916666666667,2667.23426874235
-40.625,-59.375,29,123.43875,174291.7979440526
-45.125,-63.375,48,2462.8577777777787,3892924.593915217
-42.625,-62.125,2,9.256944444444443,11158.772314264883
-44.625,-61.875,10,224.3780555555555,337548.50916607777
-44.875,-62.625,7,21.759305555555553,39704.78632525952
-43.875,-63.875,60,2594.5491666666676,3722085.681511664
-45.375,-63.125,38,1183.7180555555556,1779528.9095496663
-39.875,-59.375,5,24.717222222222226,42063.880523380496
-44.875,-62.375,6,8.277777777777777,14297.247174554544
-38.875,-55.625,32,316.44597222222217,247704.27728811023
-39.875,-56.125,41,273.9165277777778,312689.6410878797
-38.625,-56.625,1,1.6512499999999999,2260.5216544781
-37.375,-56.375,35,262.9541666666667,141272.79622098056
-36.625,-54.875,2,21.87375,10707.39046283588
-39.375,-56.375,8,103.9581944444445,114119.62222965635
-43.375,-64.125,1,2.3418055555555557,0
-44.625,-63.875,50,700.9312500000001,938183.8110030632
-47.875,-65.875,6,28.17263888888889,31934.890136692775
-46.875,-61.625,4,18.51055555555556,21059.89383427415
-40.375,-58.625,14,311.9929166666667,348141.536170416
-46.625,-63.125,9,124.05791666666667,144572.88398498215
-45.125,-60.625,21,208.52166666666665,271621.9571631905
-42.375,-59.125,13,76.61944444444444,89907.18568893195
-44.375,-60.625,27,186.4751388888889,271668.674433482
-45.625,-65.125,1,1.9290277777777776,1840.2178964344262
-41.375,-57.375,23,117.1836111111111,119722.51496240645
-45.125,-62.125,4,31.015,45343.39704542578
-50.625,-68.375,26,189.81958333333327,372927.78068183374
-47.375,-61.125,14,69.81888888888888,133537.95750346722
-38.375,-56.625,1,4.790138888888889,7258.745093951868
-44.875,-61.875,3,6.840694444444445,9209.704255628067
-48.625,-63.625,10,25.215972222222227,55664.33050917251
-48.125,-62.625,9,83.55680555555554,174922.4628319943
-44.875,-64.125,21,178.8677777777777,211720.2499116708
-40.125,-59.625,2,6.7977777777777755,9321.779738788848
-47.125,-64.125,3,18.504861111111108,24219.52240653035
-45.875,-64.875,1,4.800694444444447,6343.118027228463
-43.125,-64.875,1,2.339027777777778,2435.1185635464567
-46.375,-66.375,2,15.002916666666668,16926.229071525027
-41.625,-59.625,4,10.224861111111112,13144.44194592741
-45.875,-63.125,9,86.71458333333332,93818.94708679427
-39.375,-58.125,1,7.795833333333333,10690.411424040081
-42.625,-59.875,2,2.553888888888889,3304.1312333329674
-46.125,-62.625,8,77.4147222222222,119369.65822278784
-39.875,-60.625,2,11.799027777777779,5968.380161529536
-52.375,-63.625,6,32.84763888888888,37364.14965022095
-39.125,-54.875,2,11.079305555555557,8666.31366500869
-55.625,-65.375,1,1.6680555555555552,1304.7652294286702
-38.875,-56.875,1,2.562777777777778,3514.3322928271446
-47.375,-62.875,8,171.47805555555567,271876.156731391
-46.625,-62.875,3,12.05763888888889,13781.390337166116
-47.375,-62.875,30,210.66416666666652,238833.22110497754
-49.125,-67.125,19,82.8745833333333,93882.9549716396
-47.875,-62.125,3,10.881388888888889,12380.772256913444
-48.125,-63.375,7,50.209305555555545,57116.77960818987
-49.125,-67.375,9,74.13805555555555,83969.57092797795
-42.125,-61.125,6,24.788333333333348,42712.699284158836
-44.125,-63.875,13,72.50041666666661,76013.40512596318
-44.125,-61.875,4,48.18847222222223,71913.80844519763
-49.375,-67.625,4,22.350138888888846,25532.789603461755
-43.875,-63.125,3,1.8809722222222223,2436.104947660593
-45.125,-63.125,9,25.303472222222215,39179.23014973045
-41.375,-57.875,1,5.42125,7487.888996805448
-45.875,-61.375,10,97.25569444444443,121177.08064224977
-42.625,-61.375,4,32.89958333333333,45441.259495716055
-39.875,-58.875,1,7.308333333333334,10094.348858963
-42.125,-58.375,1,3.97263888888889,5487.0516992192825
-52.375,-65.375,5,20.108055555555566,27582.519509689024
-41.875,-60.125,4,21.537083333333324,31307.02418966814
-45.375,-60.625,2,7.4705555555555545,9666.055805533479
-49.625,-66.875,13,171.69083333333344,216462.52834906057
-48.375,-63.375,25,98.06555555555555,115920.35551044522
-49.375,-66.375,3,13.481249999999994,15868.123139159998
-36.625,-55.625,13,91.52166666666668,48861.76107910846
-44.125,-60.375,3,10.581388888888892,17733.90574177148
-46.875,-64.625,1,5.104861111111112,8555.505021116885
-45.375,-62.875,2,12.180555555555557,20927.87901552139
-44.875,-63.375,5,5.0600000000000005,8693.7797981012
-43.875,-62.625,1,6.068333333333335,10426.235917288035
-52.625,-64.875,3,8.118472222222223,20779.2205578969
-50.625,-68.875,38,122.15055555555554,218433.16358613092
-40.125,-56.125,7,24.199444444444445,24608.050628535188
-42.625,-58.875,9,127.02972222222229,163830.7027394484
-43.625,-59.625,9,115.04458333333335,147795.54254971328
-47.375,-63.375,8,140.16708333333335,193654.69026935525
-47.375,-62.125,6,10.728055555555555,21303.944381116955
-41.625,-61.375,1,4.363333333333333,4430.1676990956
-45.125,-63.875,16,78.53319444444439,95099.79656227007
-46.625,-66.375,3,19.597499999999997,26985.0947658552
-43.875,-63.625,5,42.28777777777777,42935.51119426519
-55.375,-65.375,10,74.9418055555556,91581.199832684
-54.875,-63.125,72,645.1690277777774,2416268.142225473
-47.875,-61.625,3,11.875277777777777,14864.721966245392
-41.625,-61.875,5,30.8825,33939.39531398679
-47.625,-63.875,1,3.5925000000000007,3456.3128794816885
-38.875,-57.625,1,7.320277777777777,11198.429160484924
-50.125,-63.625,1,10.576388888888888,12038.351033543402
-44.875,-64.625,2,1.5341666666666667,1489.0121285413386
-44.625,-60.625,4,48.515694444444456,55019.91650558868
-39.125,-55.875,4,38.66625,43850.013298693084
-45.375,-67.125,1,4.125000000000001,6885.9628083675
-43.125,-63.375,6,34.24708333333331,57169.489000823385
-43.625,-63.375,12,51.14236111111115,85373.18704077855
-43.375,-62.625,1,3.175138888888889,5300.336557646108
-43.125,-62.875,2,2.6359722222222217,3077.656472808967
-45.875,-64.125,3,14.515416666666665,15469.678447032562
-44.625,-62.875,6,32.901944444444446,33314.265955895855
-50.125,-66.875,1,0.059583333333333335,45.72760307311625
-49.375,-66.125,2,0.6315277777777778,484.66995611529046
-44.375,-63.125,13,102.47708333333333,112545.32501438695
-53.375,-61.625,21,182.95527777777824,666809.0141192108
-47.875,-63.625,1,1.2311111111111113,2988.2446276940445
-40.375,-57.375,1,2.577916666666667,3535.092222369641
-54.875,-64.125,1,0.40541666666666665,495.43168182646247
-54.375,-63.375,6,10.555277777777794,60884.53914852621
-54.375,-63.125,2,1.7505555555555559,10097.485873681204
-46.375,-63.875,5,40.39236111111111,44390.58727160389
-41.625,-62.625,1,0.8676388888888888,953.521872898511
-47.125,-64.375,2,19.398611111111112,26793.57098311216
-52.875,-67.125,1,0.8329166666666665,646.9577812098728
-41.875,-60.875,2,6.083611111111112,5769.628198057093
-48.875,-63.875,7,14.543333333333335,37310.31815134669
-44.625,-64.625,5,13.690833333333334,11238.555707265385
-40.875,-59.375,26,157.03430555555553,185830.4284522595
-43.875,-62.125,4,3.0531944444444443,4203.668954199454
-41.625,-59.875,3,7.216527777777777,9754.486511258932
-43.125,-61.375,4,33.25361111111113,44773.20441744561
-39.625,-56.375,23,316.50847222222217,378221.46271772456
-40.125,-57.625,3,5.487916666666667,7210.909154292791
-39.125,-57.375,4,10.277777777777779,11777.083523569323
-39.625,-55.875,23,149.04486111111115,167523.0274297466
-41.125,-59.125,3,11.895277777777771,17260.45117889681
-38.875,-56.625,2,6.002083333333334,6147.95344111902
-45.625,-64.375,6,35.803472222222226,43807.45088849019
-44.875,-65.125,2,2.1333333333333333,2534.354156277852
-40.875,-58.375,6,23.50847222222222,15188.668177550346
-40.625,-58.125,5,29.184027777777775,21320.349643272886
-41.375,-58.875,22,85.55319444444444,117871.91408603938
-43.125,-64.375,2,19.877777777777776,0
-47.625,-65.875,2,3.827777777777778,4390.8934916920325
-41.875,-62.625,1,0.5434722222222222,735.6824942353251
-45.375,-60.875,2,2.30375,2609.2523950856876
-41.875,-63.125,1,2.6637500000000003,3605.840673891975
-43.125,-59.875,29,191.50208333333336,225002.26814959102
-43.625,-59.875,55,842.3924999999994,917229.6358477962
-34.625,-57.875,4,15.396944444444442,16902.72463799573
-41.625,-58.875,29,148.0938888888889,217711.08996482502
-45.375,-64.875,8,31.56222222222222,26877.61035420596
-49.125,-66.875,32,229.25111111111116,314829.89552148397
-52.625,-64.125,22,77.62555555555556,184786.04832702826
-47.375,-62.625,28,124.87999999999997,231643.53289903054
-48.875,-66.375,3,3.6761111111111107,7887.072554059554
-51.625,-67.625,5,25.18402777777778,30178.12160386714
-46.625,-61.875,54,508.2440277777779,746486.5532383826
-44.875,-60.625,18,98.57805555555558,132950.68351334365
-42.875,-59.125,35,392.97236111111056,820267.9572579501
-44.125,-60.375,13,50.04152777777779,76883.23015834982
-42.875,-61.125,3,57.82111111111112,87639.77111055068
-42.125,-60.375,8,32.75763888888889,35383.91177983346
-50.625,-68.125,15,63.58430555555556,124980.80719293428
-49.125,-66.875,15,70.06944444444447,143713.68921369943
-46.375,-61.125,19,88.50277777777778,134172.71651659725
-46.625,-64.625,1,0.9209722222222222,1999.0110135825014
-36.125,-56.375,8,19.954444444444437,11102.599698161981
-45.125,-63.875,12,69.34083333333334,78278.12369351424
-44.875,-63.875,7,18.852500000000006,24459.16972733177
-45.125,-64.875,1,5.4752777777777775,5676.971142661056
-44.375,-63.625,78,596.9055555555555,573350.0260984747
-46.375,-65.125,1,0.533611111111111,875.3948099717694
-43.875,-61.875,2,0.24861111111111112,383.6731319049611
-44.625,-64.875,1,1.8568055555555554,2546.233927097664
-42.125,-59.125,3,9.552777777777777,11610.36117566366
-37.875,-55.625,4,167.62305555555557,239101.10921151136
-48.375,-63.875,1,9.31111111111111,14879.715056032224
-55.125,-65.875,4,15.882361111111104,12423.298774426037
-40.125,-55.125,23,106.61930555555554,83398.39893904937
-40.125,-57.375,3,19.66736111111111,29558.802372502658
-39.625,-56.875,3,27.117083333333333,26553.36620101654
-40.375,-57.125,8,104.36597222222221,156716.75486749184
-40.375,-60.625,15,39.0161111111111,37867.858728101244
-48.125,-62.125,7,75.66722222222222,86126.61584344819
-48.875,-63.125,2,11.17888888888889,21973.13542463283
-49.375,-66.875,6,13.687361111111112,15540.392083426741
-49.375,-61.375,1,5.874861111111112,8114.421558063018
-44.875,-60.875,4,20.961111111111123,24267.422499748303
-41.625,-61.625,2,7.17763888888889,8392.602928778548
-38.875,-59.125,2,16.777916666666666,10166.982912614121
-41.125,-57.875,3,2.1456944444444446,3084.7685854284555
-48.625,-60.875,14,95.03902777777785,113816.08597666532
-48.375,-61.625,1,3.511805555555555,5206.624481189625
-44.875,-60.375,14,170.82624999999985,286296.69011611206
-45.125,-60.625,4,4.565972222222222,7652.352811024826
-50.875,-68.875,27,167.6784722222222,201901.5854640287
-45.125,-63.375,11,58.50263888888894,100515.62452723956
-43.375,-63.125,4,20.34541666666665,34956.239604865244
-45.875,-62.375,4,34.09180555555555,43789.21093072061
-42.875,-59.875,3,29.46652777777778,39500.752681670136
-42.125,-59.875,2,10.037361111111112,11067.49929180429
-50.875,-64.875,2,9.123194444444444,12281.244830106974
-44.625,-63.875,8,40.31125000000001,40928.708401871845
-44.625,-60.875,2,11.61097222222222,14818.251355956481
-44.875,-62.875,1,6.091666666666667,6184.974385101001
-44.375,-63.125,2,20.001527777777774,20307.89662956635
-50.375,-65.375,1,0.8519444444444443,1395.2636616215023
-42.875,-59.625,12,63.410138888888895,64067.63549981633
-45.625,-62.375,2,3.4043055555555557,4095.250368421809
-39.375,-57.875,1,10.666805555555555,15919.950847794267
-40.625,-57.625,5,31.569861111111106,43770.423716072226
-48.125,-63.375,8,44.22847222222222,50854.843318792235
-50.125,-66.875,1,4.346111111111112,2846.9860297413097
-51.125,-68.875,1,5.03361111111111,5562.499383597885
-51.125,-68.125,2,5.567777777777778,6152.791658563878
-43.625,-63.125,4,21.52499999999999,35932.205927299525
-45.125,-65.125,1,1.2751388888888888,2128.620355004108
-41.625,-60.375,5,38.2898611111111,44771.21313543549
-45.875,-63.875,1,0.8293055555555555,883.8251476613127
-46.625,-64.625,4,5.466111111111113,5305.229162671817
-46.625,-64.875,2,7.2772222222222265,5584.949861582746
-49.375,-67.625,2,7.095694444444446,5445.635229376308
-50.625,-67.875,2,2.9131944444444446,2235.7493577123846
-54.875,-64.125,9,19.279583333333324,68130.21990073324
-54.125,-62.875,76,705.6958333333503,2603135.063139997
-54.125,-61.875,1,0.7916666666666666,2921.148073415418
-47.375,-62.625,1,7.1672222222222235,10418.51377974447
-48.625,-65.875,1,5.1002777777777775,7413.934249666234
-39.875,-60.375,1,0.7277777777777779,998.0002825934444
-37.125,-54.375,2,2.002222222222222,2745.643525547155
-40.375,-59.125,1,1.3344444444444443,3437.6364295915223
-44.125,-61.625,1,0.8847222222222222,972.2961950317776
-51.375,-68.125,5,18.46152777777776,44811.195921364495
-51.125,-67.875,3,0.693333333333333,1682.9103318421332
-47.625,-61.875,2,6.222777777777781,9867.591620407073
-46.625,-62.125,4,54.57375,86538.76089184376
-51.875,-68.125,6,16.56624999999998,16078.661927939975
-51.625,-67.625,1,1.8680555555555551,1450.9891874725347
-41.625,-57.625,3,11.127777777777778,11563.154613678722
-38.375,-57.625,13,47.050555555555576,32411.166532721418
-41.125,-59.375,5,9.304444444444444,9853.295022919174
-43.125,-59.375,6,86.74152777777779,128332.61091789027
-39.625,-58.625,6,63.83694444444441,92795.51613302894
-40.125,-57.125,23,177.48736111111106,201623.75000879265
-40.375,-57.375,31,353.23791666666665,418517.69982373255
-45.625,-62.875,21,490.18416666666667,768202.6105683638
-45.625,-64.625,2,6.036388888888892,11049.978856703681
-45.125,-64.375,12,58.37472222222221,71836.13833907318
-39.375,-58.625,9,75.21499999999999,106041.99249098435
-40.125,-58.375,16,179.74888888888887,186409.76275467908
-39.375,-56.875,3,7.243055555555556,11111.332982751715
-43.625,-63.625,10,25.985000000000003,29471.15423130556
-45.625,-67.125,2,4.5543055555555565,7724.608009159943
-42.375,-60.125,2,11.797638888888889,13666.945128625212
-40.625,-58.875,9,54.95069444444445,71438.81589195158
-44.625,-64.875,6,13.819027777777778,15437.292544443515
-43.625,-64.125,6,11.649583333333334,13288.045653767149
-42.625,-59.125,13,55.814027777777774,80158.88666114671
-42.125,-60.125,6,7.366944444444444,14201.534367085085
-49.125,-67.375,55,327.29930555555563,478602.91330105375
-52.625,-63.625,14,81.9051388888889,204919.63905557772
-42.625,-61.625,18,184.72500000000005,233779.101104093
