lat_bin_center,lon_bin_center,flag_country_name,flag_iso3,known_label,inferred_label_allyears,inferred_sublabel_allyears,fishing_days,fishing_hours,fishing_kwh
-40.125,-56.875,Argentina,ARG,motor_passenger,trawlers,trawlers,0,0,0
-41.125,-59.875,Argentina,ARG,motor_passenger,trawlers,trawlers,0,0,0
-50.625,-67.625,Argentina,ARG,unknown_fishing,trawlers,trawlers,0,0,0
-41.125,-56.875,Argentina,ARG,unknown_fishing,trawlers,trawlers,1,2.9211111111111108,5254.993664157722
-50.875,-68.125,Argentina,ARG,unknown_fishing,trawlers,trawlers,1,4.018333333333334,5512.007725305801
-41.875,-61.125,Argentina,ARG,NA,fixed_gear,trawlers,24,192.13902777777776,224662.53767052718
-39.875,-59.125,Argentina,ARG,NA,fixed_gear,trawlers,0,0,0
-42.125,-60.875,Argentina,ARG,NA,fixed_gear,trawlers,0,0,0
-42.625,-61.625,Argentina,ARG,NA,fixed_gear,trawlers,0,0,0
-41.875,-60.625,Argentina,ARG,NA,fixed_gear,trawlers,7,17.839999999999996,20859.7894888784
-44.625,-62.875,Argentina,ARG,NA,fixed_gear,trawlers,1,5.080972222222224,5941.032004170082
-41.375,-61.875,Argentina,ARG,NA,fixed_gear,trawlers,3,5.975138888888889,6986.554898488397
-39.625,-56.125,China,CHN,NA,squid_jigger,squid_jigger,0,0,0
-51.875,-56.125,Saint Helena,SHN,drifting_longlines,drifting_longlines,drifting_longlines,0,0,0
-43.375,-65.125,Argentina,ARG,unknown_fishing,drifting_longlines,drifting_longlines,1,0.16361111111111112,253.33113657206945
-47.875,-65.875,Argentina,ARG,unknown_fishing,fixed_gear,trawlers,3,8.507222222222223,5627.605237897875
-45.625,-65.375,Argentina,ARG,unknown_fishing,fixed_gear,trawlers,7,52.73694444444445,39771.15979767311
-46.375,-65.125,Argentina,ARG,unknown_fishing,fixed_gear,trawlers,9,52.97138888888885,36726.13429475181
-43.875,-62.125,Argentina,ARG,unknown_fishing,fixed_gear,trawlers,0,0,0
-46.375,-64.375,Argentina,ARG,unknown_fishing,fixed_gear,trawlers,0,0,0
-54.875,-68.375,Argentina,ARG,NA,other_fishing,pole_and_line,0,0,0
-51.625,-68.625,Argentina,ARG,NA,other_fishing,pole_and_line,0,0,0
-40.125,-57.375,Argentina,ARG,unknown_fishing,squid_jigger,squid_jigger,0,0,0
-42.625,-59.125,Argentina,ARG,unknown_fishing,squid_jigger,squid_jigger,6,28.49930555555556,38590.49773138585
-39.125,-55.875,Argentina,ARG,unknown_fishing,squid_jigger,squid_jigger,3,17.460694444444457,27632.623053650506
-44.125,-61.875,Argentina,ARG,unknown_fishing,squid_jigger,squid_jigger,0,0,0
-41.125,-59.625,Argentina,ARG,unknown_fishing,squid_jigger,squid_jigger,1,3.1984722222222226,4649.406128085717
-51.375,-56.375,Taiwan,TWN,NA,drifting_longlines,drifting_longlines,0,0,0
-50.375,-53.625,Taiwan,TWN,NA,drifting_longlines,drifting_longlines,0,0,0
-49.375,-58.875,Spain,ESP,unknown_fishing,trawlers,trawlers,0,0,0
-51.125,-66.125,South Korea,KOR,drifting_longlines,drifting_longlines,drifting_longlines,0,0,0
-48.625,-63.875,Argentina,ARG,unknown_fishing,drifting_longlines,drifting_longlines,0,0,0
-48.125,-62.375,Argentina,ARG,unknown_fishing,drifting_longlines,drifting_longlines,11,40.719722222222195,58747.83209868622
-41.875,-59.125,Argentina,ARG,unknown_fishing,drifting_longlines,drifting_longlines,0,0,0
-47.125,-64.625,Argentina,ARG,unknown_fishing,drifting_longlines,drifting_longlines,0,0,0
-54.625,-64.625,China,CHN,unknown,squid_jigger,squid_jigger,0,0,0
-52.875,-53.625,Chile,CHL,unknown,drifting_longlines,drifting_longlines,0,0,0
-53.875,-57.125,Chile,CHL,unknown,drifting_longlines,drifting_longlines,0,0,0
-53.125,-55.125,Chile,CHL,unknown,drifting_longlines,drifting_longlines,0,0,0
-51.375,-63.375,China,CHN,unknown,squid_jigger,squid_jigger,0,0,0
-35.375,-56.625,Argentina,ARG,motor_passenger,trawlers,trawlers,0,0,0
-43.375,-60.375,Argentina,ARG,NA,squid_jigger,squid_jigger,0,0,0
-47.625,-64.875,Argentina,ARG,NA,other_fishing,pole_and_line,1,3.2370833333333366,5425.1980826328645
-47.625,-64.625,Argentina,ARG,NA,other_fishing,pole_and_line,1,5.225833333333335,8758.248726011254
-44.125,-63.875,Argentina,ARG,NA,other_fishing,pole_and_line,0,0,0
-44.875,-60.625,Argentina,ARG,NA,other_fishing,pole_and_line,1,1.3158333333333332,2205.2742367041587
-50.625,-64.375,Argentina,ARG,NA,other_fishing,pole_and_line,0,0,0
-46.125,-64.625,Argentina,ARG,NA,other_fishing,pole_and_line,0,0,0
-50.125,-63.875,Argentina,ARG,NA,other_fishing,pole_and_line,0,0,0
-43.375,-62.875,United Arab Emirates,ARE,NA,fixed_gear,set_longlines,2,9.799722222222222,7852.506025420556
-49.625,-61.125,Taiwan,TWN,NA,passenger,motor_passenger,0,0,0
-49.625,-61.625,Taiwan,TWN,NA,passenger,motor_passenger,0,0,0
-41.125,-64.625,Argentina,ARG,unknown_fishing,trawlers,trawlers,6,25.30624999999999,9242.30742478009
-56.375,-65.625,Chile,CHL,NA,purse_seines,purse_seines,0,0,0
-40.875,-57.125,South Korea,KOR,NA,drifting_longlines,drifting_longlines,0,0,0
-39.875,-56.625,South Korea,KOR,NA,drifting_longlines,drifting_longlines,0,0,0
-53.125,-60.625,Chile,CHL,unknown,drifting_longlines,drifting_longlines,0,0,0
-48.875,-56.875,Chile,CHL,unknown,drifting_longlines,drifting_longlines,0,0,0
-53.375,-60.125,Chile,CHL,unknown,drifting_longlines,drifting_longlines,0,0,0
-51.875,-54.125,Chile,CHL,unknown,drifting_longlines,drifting_longlines,0,0,0
-50.125,-56.125,Chile,CHL,unknown,drifting_longlines,drifting_longlines,0,0,0
-41.875,-59.625,China,CHN,NA,squid_jigger,squid_jigger,0,0,0
-42.125,-58.375,China,CHN,NA,squid_jigger,squid_jigger,0,0,0
-48.375,-64.875,Invalid MMSI,NA,NA,NA,NA,0,0,0
-50.125,-55.875,Taiwan,TWN,NA,squid_jigger,squid_jigger,0,0,0
-45.125,-64.375,Argentina,ARG,NA,fixed_gear,trawlers,0,0,0
-46.375,-63.625,Argentina,ARG,unknown_fishing,purse_seines,purse_seines,0,0,0
-37.375,-54.875,Argentina,ARG,NA,trawlers,trawlers,5,16.423472222222223,26154.649938651957
-46.875,-65.375,Argentina,ARG,unknown_fishing,purse_seines,purse_seines,0,0,0
-49.625,-60.875,Vanuatu,VUT,NA,drifting_longlines,drifting_longlines,0,0,0
-49.875,-65.625,Argentina,ARG,unknown_fishing,trawlers,trawlers,2,5.620833333333333,7983.649854942185
-53.125,-64.875,Argentina,ARG,unknown_fishing,trawlers,trawlers,4,10.820833333333336,28234.775548251746
-53.375,-66.625,South Korea,KOR,drifting_longlines,drifting_longlines,drifting_longlines,0,0,0
-51.375,-57.375,Saint Vincent and the Grenadines,VCT,NA,other_fishing,trawlers,0,0,0
-50.625,-55.375,Saint Vincent and the Grenadines,VCT,NA,other_fishing,trawlers,0,0,0
-34.625,-58.125,Argentina,ARG,trawlers,trawlers,trawlers,0,0,0
-49.875,-66.875,Argentina,ARG,unknown_fishing,trawlers,trawlers,3,7.670416666666666,10607.89929638792
-36.375,-56.125,Argentina,ARG,NA,trawlers,trawlers,3,24.368472222222223,13493.655484222587
-52.375,-58.125,United Kingdom,GBR,trawlers,trawlers,trawlers,9,34.648194444444435,85296.92508333335
-47.625,-61.125,China,CHN,unknown,NA,NA,0,0,0
-51.625,-57.875,Taiwan,TWN,unknown,passenger,motor_passenger,0,0,0
-48.125,-59.875,Falkland Islands,FLK,trawlers,trawlers,trawlers,0,0,0
-49.375,-53.875,Taiwan,TWN,NA,squid_jigger,squid_jigger,0,0,0
-45.375,-62.625,Argentina,ARG,unknown_fishing,drifting_longlines,drifting_longlines,0,0,0
-46.125,-63.625,Argentina,ARG,unknown_fishing,drifting_longlines,drifting_longlines,1,12.29944444444444,19044.13593402053
-43.875,-64.625,Argentina,ARG,unknown_fishing,drifting_longlines,drifting_longlines,0,0,0
-46.625,-65.625,Argentina,ARG,unknown_fishing,drifting_longlines,drifting_longlines,0,0,0
-38.375,-53.625,Spain,ESP,trawlers,trawlers,trawlers,0,0,0
-38.625,-57.875,Argentina,ARG,NA,cargo_or_tanker,trawlers,0,0,0
-52.875,-65.875,Ukraine,UKR,drifting_longlines,drifting_longlines,drifting_longlines,0,0,0
-53.375,-56.125,Ukraine,UKR,drifting_longlines,drifting_longlines,drifting_longlines,0,0,0
-40.375,-58.125,Argentina,ARG,unknown_fishing,NA,NA,0,0,0
-40.625,-57.875,Argentina,ARG,unknown_fishing,NA,NA,0,0,0
