year,mmsi,on_fishing_list,on_fishing_list_nn,flag_country_name,flag_iso3,known_label,inferred_label_allyears,inferred_sublabel_allyears,length,tonnage,engine_power,days,hours,fishing_days,fishing_hours,fishing_kwh
2014,224526000,TRUE,TRUE,Spain,ESP,trawlers,trawlers,trawlers,53.85,942.2,808.68,141,3269.6343055555562,131,2626.55888888889,2124045.642266666
2015,701006377,TRUE,TRUE,Argentina,ARG,unknown_fishing,trawlers,trawlers,43.8189969416,625.787235764,1541.70135815,179,4171.915277777753,122,2154.6174999999976,3321776.7260437473
2015,701024000,TRUE,TRUE,Argentina,ARG,NA,trawlers,trawlers,53.9692267636,4124.36376481,2717.81861389,365,8624.604861110767,293,6363.698055555224,17295377.02856567
2014,701000919,TRUE,TRUE,Argentina,ARG,unknown_fishing,trawlers,trawlers,40.785742245,748.89421879,1341.69267588,212,5053.427083333329,122,2006.4393055555556,2692024.920861636
2015,701006086,TRUE,TRUE,Argentina,ARG,NA,trawlers,trawlers,42.7503755532,740.425716003,1504.01224955,298,7123.264305555365,125,2117.530833333322,3184792.3121331804
2016,701006637,TRUE,TRUE,Argentina,ARG,NA,drifting_longlines,drifting_longlines,40.4104246619,514.564253406,970.567384166,366,8783.97666666664,156,2494.269861110993,2420856.9745027535
2014,701000805,TRUE,TRUE,Argentina,ARG,NA,trawlers,trawlers,36.7321051147,526.548155055,1076.04738657,226,5383.866944444423,133,2195.314583333341,2362262.520094842
2014,701006204,TRUE,TRUE,Argentina,ARG,unknown_fishing,trawlers,trawlers,30.7792131755,435.894475363,978.349218128,183,4376.390972222226,94,1791.0786111111127,1752300.3587863343
2015,725000667,TRUE,TRUE,Chile,CHL,unknown,drifting_longlines,drifting_longlines,55,1100,1192.96,114,795.7180555555713,97,534.0845833333374,637141.5445333372
2015,440100000,TRUE,TRUE,South Korea,KOR,NA,drifting_longlines,drifting_longlines,55.1494986045,801.395510497,1226.63718242,61,443.7862499999996,46,245.04361111111086,300579.60470335576
