year,mmsi,on_fishing_list,on_fishing_list_nn,flag_country_name,flag_iso3,known_label,inferred_label_allyears,inferred_sublabel_allyears,length,tonnage,engine_power,days,hours,fishing_days,fishing_hours,fishing_kwh
2014,224571000,TRUE,TRUE,Spain,ESP,trawlers,trawlers,trawlers,43.6,741,901.4,145,3244.8426388888884,130,2376.8393055555553,2142482.9500277783
2014,412329657,TRUE,FALSE,China,CHN,pole_and_line,reefer,reefer,80.6426261961,1655,2100,1,6.419027777777778,1,6.419027777777778,13479.958333333334
2016,441413000,TRUE,TRUE,South Korea,KOR,NA,squid_jigger,squid_jigger,58.3764435248,1011.46579699,1527.70148563,36,702.820972222223,23,207.33791666666656,316750.4433190955
2016,701000687,TRUE,TRUE,Argentina,ARG,unknown_fishing,trawlers,trawlers,46.103872466,786.434059971,1538.12520294,172,4059.9688888887845,109,1636.9963888888763,2517905.4028717196
2016,416029800,FALSE,TRUE,Taiwan,TWN,unknown,squid_jigger,squid_jigger,56.65,890.02,1343,27,495.3998611111101,8,63.15777777777781,84820.89555555557
2016,412271490,TRUE,TRUE,China,CHN,unknown,squid_jigger,squid_jigger,64.8750258125,1096,2072.06489665,57,398.36124999999913,50,301.81277777777734,625375.6621937605
2014,701007039,TRUE,TRUE,Argentina,ARG,unknown_fishing,trawlers,trawlers,43.660572471,915.303917644,1309.19008139,160,3831.709583333317,59,1100.2515277777775,1440438.3872008612
2016,701027000,TRUE,TRUE,Argentina,ARG,NA,trawlers,trawlers,86.076548353,4391.30542655,5768.16076567,317,7551.986249998906,139,1906.725416666516,10998298.739322485
2015,441404000,TRUE,TRUE,South Korea,KOR,NA,squid_jigger,squid_jigger,60.6909920574,746.595814856,1266.9151172,124,2849.333888888889,67,860.0770833333332,1089644.6588322835
2015,701006640,TRUE,TRUE,Argentina,ARG,NA,trawlers,trawlers,25.3262106709,180.117930159,489.508678797,136,2995.7194444444463,66,1109.6870833333337,543201.4580405963
