year,mmsi,fishing_hours_mpa_1,fishing_hours_mpa_2,fishing_hours_mpa_3,fishing_hours_mpa_4,fishing_hours_mpa_5,fishing_hours_mpa_6,fishing_hours_mpa_7,fishing_hours_mpa_8,fishing_hours_mpa_10,fishing_hours_mpa_11,fishing_hours_mpa_12,fishing_hours_mpa_13,fishing_hours_mpa_14
2014,701006046,0,0,624.4922222222223,188.67625,0,30.444583333333334,5.354305555555555,0,0,0,0,0,0
2014,701006056,0,0,23.155555555555555,0,0,0,0,0,0,0,0,0,0
2014,701006058,0,0,0,0,0,0,0,0,149.54305555555555,270.9638888888889,173.88833333333332,0,0
2014,701006059,0,0,0,0,0,0,0,0,261.96416666666664,322.61055555555555,208.63125,0,0
2014,701006061,0,0,179.0365277777778,0.6,0,0,0,0,0,0,0,0,0
2014,701006063,0,0,481.7347222222222,6.375138888888889,0,0,0,0,0,21.5425,21.5425,0,0
2014,701006066,9.147638888888888,9.147638888888888,226.02666666666667,0,0,0,0,0,0,0,0,0,0
2014,701006068,0,0,0,0,0,0,0,0,43.03527777777778,33.40819444444445,5.28125,0,0
2014,701006073,0,0,723.3683333333333,28.33791666666667,0,0,0,0,0,0,0,0,0
2014,701006074,0,0,0,0,0,0,0,0,144.36680555555554,290.2476388888889,121.86694444444444,0,0
2014,701006080,0,0,111.16194444444444,8.096527777777778,0,0,0,0,199.62597222222223,44.6675,5.347916666666666,0,0
2014,701006084,0,0,0,0,0,0,0,0,92.94430555555556,438.3333333333333,224.16833333333332,0,0
2014,701006085,0,1.585,53.02902777777778,0,0,0,0,0,0,0,0,0,0
2014,701006094,0,0,0,0,0,0,0,0,242.52333333333334,547.1508333333334,244.44916666666666,0,3.150138888888889
2014,701006135,0,0,19.155416666666667,0,0,0,0,0,0,0,0,0,0
2014,701006138,0,0,152.21458333333334,0,0,0,0,0,0,0,0,0,0
2014,701006139,0,0,28.99388888888889,0,0,0,0,0,0,0,0,0,0
2014,701006143,0,0,38.99652777777778,0,0,0,0,0,0,0,0,0,0
2014,701006144,0,0,19.13722222222222,0,0,0,0,0,0,0,0,0,0
2014,701006147,0,0,14.340972222222222,0,0,0,0,0,0,0,0,0,0
2014,701006149,0,1.5775,3.9680555555555554,0,0,0,0,0,0,0,0,0,0
2014,701006151,0,23.345694444444444,16.308611111111112,0,0,0,0,0,0,0,0,0,0
2014,701006168,0,0,368.32680555555555,18.72833333333333,0,0,0,0,0,0,0,0,0
2014,701006182,0,9.377916666666666,49.23791666666667,125.89263888888888,620.295,216.42083333333332,4.879583333333333,217.21694444444444,0,9.127083333333333,0,0,0
2014,701006183,0,0,16.127777777777776,0,0,0,0,0,0,0,0,0,0
2014,701006201,0,0,0,0,0,0,0,0,0,0,0,0,36.86013888888889
2014,701006204,0,0,0,0,0,0,0,0,210.6473611111111,116.74111111111111,48.70666666666667,0,0
2014,701006300,0,0,46.833333333333336,0,0,0,0,0,0,59.999027777777776,59.91027777777778,0,0
2014,701006341,0,0,150.61375,56.04361111111111,0,0,0,0,0,31.055833333333336,0,69.51722222222223,0
2014,701006377,0,0,0,0,0,0,0,0,135.51111111111112,415.63944444444445,207.74125,0,0
2014,701006427,0,0,0,0,0,0,0,0,208.91722222222222,0,0,0,0
2014,701006445,0,0,553.8245833333333,0,0,0,0,0,0,0,0,0,0
2014,701006450,0,0,0,0,0,0,0,0,40.99388888888889,0,0,0,0
2014,701006468,0,0,0,0,0,0,0,0,265.75041666666664,107.16194444444444,33.18666666666667,0,0
2014,701006471,0,0,0,0,0,0,0,0,193.76638888888888,473.10555555555555,258.8927777777778,0,0
2014,701006529,0,0,146.48388888888888,0.20833333333333331,0,0,0,0,0,0,0,0,0
2014,701007014,0,0,50.19847222222222,0,0,0,0,0,12.1775,33.50944444444444,20.65722222222222,0,0
2014,701007021,0,0,140.05680555555557,10.708055555555555,0,0,0,0,0,2.506666666666667,2.506666666666667,0,0
2014,701007022,0,0,0,0,0,0,0,0,320.21805555555557,337.0848611111111,133.04319444444445,0,0
2014,701007026,0,0,270.02791666666667,0,0,0,0,0,0,0,0,0,0
2014,701007039,0,0,41.31986111111111,0,0,0,0,0,0,0,0,0,0
2014,701007040,0,0,219.0948611111111,2.736388888888889,0,0,0,0,0,98.8425,98.8425,0,0
2014,701007044,0,0,0,0,0,0,0,0,64.67194444444445,441.56347222222223,182.11930555555554,0,14.084722222222222
2014,701015000,0,0,75.86569444444444,21.052083333333332,0,0,0,0,0,64.62,0,0,13.46638888888889
2014,701019000,0,0,29.876805555555556,0,0,0,0,0,82.46722222222222,45.60722222222222,23.37875,0,0
2014,701023000,9.033194444444444,9.033194444444444,512.5219444444444,6.40625,0,0,0,0,0,0,0,0,0
2014,701024000,194.69930555555555,195.13097222222223,2195.455138888889,2044.2363888888888,0,0,0,0,0,0,0,0,0
2014,701027000,0,0,0,0,4.810277777777777,1025.628611111111,5.608333333333333,7.758333333333334,0,0,0,0,0
2014,701030000,0,0,130.70819444444444,0,0,0,0,0,0,0,0,0,0
2014,701031000,19.660694444444445,25.416805555555555,823.4443055555556,0,0,0,0,0,0,0,0,0,0
2014,701033000,0,0,1280.6373611111112,1676.7590277777779,0,0,0,0,0,0,0,0,0
2014,701037000,13.593194444444444,14.369861111111112,830.6958333333333,18.95958333333333,0,0,0,0,0,0,0,0,0
2014,701038000,0,0,30.313194444444445,0,0,0,0,0,0,0,0,39.165416666666665,0
2014,701042000,0,2.270833333333333,483.6958333333333,12.569861111111111,0,0,0,0,0,0,0,0,0
2014,701045000,0,0,645.3751388888888,11.696666666666667,0,0,0,0,0,0,0,0,0
2014,701054000,0,0,0,0,0,0,0,0,0,0,0,16.767083333333332,0
2014,701066000,0,0,0,0,0,0,0,0,232.39569444444444,451.1588888888889,227.35486111111112,0,0
2014,701068000,0,0,0,0,17.514861111111113,611.7159722222223,0,18.24763888888889,0,0,0,0,0
2014,701070000,0,0,0,0,0,0,0,0,89.12847222222223,48.62527777777778,1.3288888888888888,0,0
2014,701078000,0,0,0,0,0,0,0,0,190.3325,525.6594444444445,317.5236111111111,0,0
2014,701079000,0,0,0,0,0,0,0,0,168.07722222222222,396.1820833333333,279.1825,0,0
2014,701094000,0,0,0,0,0,28.099444444444444,0,0,106.89861111111111,315.5184722222222,178.0648611111111,0,0
2014,701096000,0,0,0,0,0,0,0,0,310.6073611111111,465.2029166666667,267.24611111111113,0,0
2014,701100000,0,0,0,0,0,0,0,0,182.10944444444445,420.3748611111111,210.63291666666666,0,0
2014,701537000,0,0,0,0,0,0,0,0,0.3527777777777778,0,0,0,0
2015,701000509,10.851944444444445,10.851944444444445,253.17125000000001,4.085833333333333,0,0,0,0,0,33.139583333333334,33.139583333333334,0,0
2015,701000511,0,0,141.7776388888889,0.4030555555555556,0,0,0,0,0,0,0,0,0
2015,701000512,0,0,1408.298888888889,28.54861111111111,0,0,0,0,0,0,0,0,0
2015,701000515,0,0,0,0,0,0,0,0,316.04055555555556,227.46930555555556,118.54694444444445,0,0
2015,701000516,0,0,0,0,0,0,0,0,344.75569444444443,123.1925,76.57555555555555,0,0
2015,701000528,0,0,0,0,0,0,0,0,11.095833333333333,0,0,0,0
2015,701000529,0,0,29.58972222222222,0,0,0,0,0,0,0,0,0,0
2015,701000531,0,0,169.67708333333334,0,0,0,0,0,0,98.31361111111111,98.31361111111111,0,0
2015,701000539,0,0,0,0,0,0,0,0,193.47694444444446,400.14472222222224,263.4061111111111,0,1.5419444444444446
2015,701000543,0,0,38.67472222222222,0,0,0,0,0,0,0,0,0,0
2015,701000545,0,0,188.63625,0,0,0,0,0,0,0.8444444444444444,0,0,0
2015,701000546,0,0,0,0,0,0,0,0,339.525,246.40916666666666,113.00402777777778,0,0
2015,701000547,0,0,102.35222222222222,0,0,0,0,0,0,0,0,0,0
2015,701000549,0,0,0,0,0,0,0,0,182.20111111111112,153.43333333333334,94.69361111111111,0,0
2015,701000550,0,0,0,0,0,0,0,0,228.43527777777777,128.1223611111111,64.45902777777778,0,0
2015,701000551,0,0,59.148472222222225,0,0,0,0,0,0,0,0,0,0
2015,701000553,0,0,0,0,0,0,0,0,313.86694444444447,119.34111111111112,84.24402777777777,0,0
2015,701000562,0,0,0,0,0,0,0,0,168.21930555555556,92.87083333333334,50.20930555555555,0,0
2015,701000577,0,0,723.57625,351.0961111111111,0,0,0,0,0,0,0,0,0
2015,701000583,0,0,278.74805555555554,25.203333333333333,0,0,0,0,0,0,0,0,0
2015,701000584,0,0,0,0,0,0,0,0,5.481805555555555,0,0,0,0
2015,701000588,0,0,0,0,0,0,0,0,355.06930555555556,220.69486111111112,129.35875,0,0
2015,701000591,0,0,252.30944444444444,1.5143055555555556,0,0,0,0,0,46.44888888888889,46.44888888888889,0,0
2015,701000597,0,0,164.95958333333334,0,0,0,0,0,0,0,0,0,0
2015,701000607,0,0,0,0,0,0,0,0,212.33902777777777,228.155,142.0088888888889,4.697916666666667,0
2015,701000612,0,0,0,0,0,0,0,0,215.99472222222224,396.1455555555556,297.85583333333335,0,0
2015,701000617,0,0,0,0,0,0,0,0,83.50638888888889,122.8536111111111,72.4876388888889,70.50680555555556,14.934722222222224
2015,701000619,0,0,0,0,0,0,0,0,102.36972222222222,180.4323611111111,157.68833333333333,0,0
2015,701000620,6.3445833333333335,6.3445833333333335,1211.0305555555556,578.2033333333334,0,0,0,0,0,0,0,0,0
2015,701000623,0,0,116.87916666666666,0,0,0,0,0,0,0,0,0,0
2015,701000626,0,0,0,0,0,0,0,0,153.86305555555555,169.98236111111112,92.65708333333333,0,0
2015,701000627,0,0,0,0,0,1958.62125,38.75555555555555,213.08277777777778,0,0,0,0,0
2015,701000628,0,0,664.3741666666666,0,0,0,0,0,0,1.0541666666666667,0,0,0
2015,701000629,4.42375,4.822361111111111,324.79305555555555,8.50375,0,0,0,0,0,0,0,0,0
2015,701000636,0,0,0,0,0,0,0,0,0,138.1052777777778,134.81541666666666,0,0
2015,701000639,0,0,0,0,0,0,0,0,115.92902777777778,413.18097222222224,210.76680555555555,0,0
2015,701000642,0,0,0,0,0,0,0,0,308.35069444444446,22.252222222222223,6.867638888888889,0,0
2015,701000645,0,0,0,0,0,0,0,0,426.4963888888889,150.77333333333334,91.74472222222222,0,0
2015,701000646,0,0,0,0,0,0,0,0,168.48513888888888,0,0,0,0
2015,701000649,0,0,0,0,0,0,0,0,254.69847222222222,318.3463888888889,167.60972222222222,0,0
2015,701000651,0,0,0,0,0,0,0,0,171.09458333333333,125.48416666666667,74.93472222222222,0,0
2015,701000652,0,0,0,0,0,0,0,0,350.7368055555556,324.0652777777778,216.11111111111111,0,0
2015,701000658,0,0,0,0,0,0,0,0,323.24847222222223,360.5465277777778,246.93569444444444,0,0
2015,701000660,0,0,0,0,0,0,0,0,145.34472222222223,120.44819444444444,92.28125,3.329305555555555,0
2015,701000662,0,0,0,0,0,0,0,0,195.49027777777778,230.83013888888888,130.47625,0,0
