year,mmsi,gear_type,total_hours,total_fishing_hours,fishing_hours_eez,fishing_hours_falkland,fishing_hours_hs
2014,701000962,squid_jigger,4771.00972222221,1176.6087500000017,1176.6087500000017,0,0
2014,701000941,trawlers,5760.659722222231,2678.4652777777783,2678.4652777777783,0,0
2014,701000753,trawlers,5716.435833333313,2373.332916666665,2373.332916666665,0,0
2015,701000753,trawlers,4882.862777777756,1808.0972222222035,1808.0972222222035,0,0
2015,701000687,trawlers,4615.045555555456,2311.806944444424,2311.806944444424,0,0
2014,701000882,trawlers,6606.836666666655,2558.455694444443,2558.455694444443,0,0
2014,701000623,trawlers,4107.9794444444315,857.8587499999995,857.8587499999995,0,0
2016,701000553,trawlers,7396.186527777555,3379.2613888888327,3379.2613888888327,0,0
2015,701006471,trawlers,7226.224861110768,2418.238055555526,2418.238055555526,0,0
2016,701000631,trawlers,5270.933055555377,512.1441666666658,512.1441666666658,0,0
2014,701006427,trawlers,8760.644027777562,4020.779861111111,4020.779861111111,0,0
2015,701000584,drifting_longlines,1400.5774999999999,420.23388888888894,420.23388888888894,0,0
2015,701000894,trawlers,847.9533333333346,5.979444444444444,5.979444444444444,0,0
2015,701000805,trawlers,3712.0022222221983,1911.1762500000023,1911.1762500000023,0,0
2015,701024000,trawlers,8769.124305555355,6466.371249999659,6363.698055555231,0,102.67319444444443
2016,701000753,trawlers,5296.343888888833,1366.254027777778,1366.254027777778,0,0
2016,701007038,trawlers,3834.351388888898,1015.227638888891,1015.227638888891,0,0
2016,701000875,trawlers,4491.07749999992,1889.380694444445,1887.740277777778,1.6404166666666669,0
2016,701006056,trawlers,8672.442777777143,1309.7593055555558,1309.7593055555558,0,0
2014,701006044,trawlers,5325.71583333331,2223.878333333334,2056.983333333334,166.89499999999995,0
2015,701007026,squid_jigger,8010.0029166667255,1439.464027777776,1438.6569444444426,0.8070833333333334,0
2014,701000651,trawlers,8069.875972222125,1879.4676388888954,1879.4676388888954,0,0
2015,701000800,fixed_gear,4661.7924999998595,2349.6384722222065,2349.6384722222065,0,0
2016,701000742,trawlers,6583.430138888322,3889.4566666666083,3889.4566666666083,0,0
2016,701006085,trawlers,8506.61111111032,1988.7990277777733,1986.105833333329,2.693194444444445,0
2016,701000672,squid_jigger,5814.8104166664425,1173.790277777781,1160.5645833333363,13.225694444444443,0
2015,701000691,trawlers,4585.26597222221,978.9088888888882,707.4074999999991,271.50138888888875,0
2016,701000941,trawlers,5428.224722222167,3239.9929166666398,3239.9929166666398,0,0
2014,701054000,trawlers,1719.859027777777,22.265972222222224,22.265972222222224,0,0
2014,701000916,trawlers,7535.77513888889,3266.2533333333326,3266.2533333333326,0,0
2015,701000895,trawlers,4356.334166666672,2520.7123611111124,2520.7123611111124,0,0
2015,701000865,drifting_longlines,4641.446111111096,591.1662499999995,591.1662499999995,0,0
2016,701000785,trawlers,953.5130555555551,9.199861111111112,9.199861111111112,0,0
2015,701000932,trawlers,6063.103333333296,3875.597083333313,3875.597083333313,0,0
2016,701000965,purse_seines,91.41527777777772,49.56736111111115,49.56736111111115,0,0
2014,701100000,trawlers,6517.173333333326,1868.8597222222302,1868.8597222222302,0,0
2015,701000629,trawlers,3823.4931944444,1272.539444444451,1254.8440277777836,17.695416666666674,0
2015,701006132,squid_jigger,2026.7647222222129,393.62124999999975,249.49138888888882,144.1298611111113,0
2014,701006445,trawlers,8604.577083333337,3670.475555555555,3307.713472222221,362.76208333333335,0
2016,701070000,trawlers,6498.220555555396,2236.2854166666402,2236.2854166666402,0,0
2015,701000517,trawlers,1959.413611111109,437.107638888889,437.107638888889,0,0
2016,701000830,trawlers,6004.960833333075,1071.0813888888817,1071.0813888888817,0,0
2015,701000528,trawlers,1246.991388888889,511.43736111111104,511.43736111111104,0,0
2015,701006145,trawlers,3790.8319444444323,1476.957361111107,1063.442222222223,409.6518055555548,3.8633333333333333
2015,701006037,trawlers,8481.981944444344,1026.6808333333352,1026.6808333333352,0,0
2015,701006405,trawlers,1031.8847222222214,358.35652777777756,358.35652777777756,0,0
2016,701000768,trawlers,4088.9530555554848,1816.9262499999932,1800.1372222222149,16.789027777777775,0
2016,701000645,trawlers,8186.014722221398,3486.4726388888253,3486.4726388888253,0,0
2016,701006001,trawlers,3555.3455555555392,882.2562500000003,882.2562500000003,0,0
2016,701054000,trawlers,563.67805555555594,161.06138888888896,161.06138888888896,0,0
2016,701000708,trawlers,6311.404166666498,1262.9784722222164,1262.9784722222164,0,0
2014,701000551,trawlers,7648.552083333313,983.7854166666668,820.0730555555558,163.71236111111114,0
2014,701000517,trawlers,3556.4236111111127,1047.487638888889,1047.487638888889,0,0
2014,701000516,trawlers,7856.414722222215,3542.050972222223,3542.050972222223,0,0
2014,701000830,trawlers,4450.17944444444,1847.1215277777774,1847.1215277777774,0,0
2015,701000842,pole_and_line,1967.699444444445,851.7630555555555,851.7630555555555,0,0
2014,701006043,drifting_longlines,7115.415277777771,2463.0804166666667,2202.1097222222224,260.97069444444463,0
2015,701000856,trawlers,4644.967499999993,1343.7712500000011,1343.7712500000011,0,0
2015,701000646,trawlers,5978.725277777592,1234.1611111111117,1234.1611111111117,0,0
2016,701000805,trawlers,5597.248611111072,2666.4401388888937,2666.4401388888937,0,0
2015,701006043,drifting_longlines,7910.760138888632,3359.6113888888503,2892.1087499999812,467.5026388888891,0
2015,701006614,trawlers,2734.101111111098,729.5112499999996,576.2906944444442,153.2205555555555,0
2015,701000515,trawlers,8728.658888888818,2960.554305555539,2960.554305555539,0,0
2016,701006059,trawlers,6831.597638888755,3306.3344444444383,3306.3344444444383,0,0
2015,701000735,trawlers,7444.8509722218405,3369.5295833332975,2930.9388888888598,438.5906944444443,0
2015,701000835,trawlers,7005.360833333164,2419.0758333333065,2419.0758333333065,0,0
2016,701031000,trawlers,6805.559305554884,4462.255277777585,3776.3449999998484,685.9102777777788,0
2014,701033000,trawlers,8759.948055555416,4803.745972222154,4803.745972222154,0,0
2014,701000642,trawlers,5841.144722222215,2235.116388888888,2235.116388888888,0,0
2015,701000755,trawlers,8758.807083333297,2851.949027777742,2851.949027777742,0,0
2015,701000882,trawlers,4859.6930555555255,2316.9236111110927,2316.9236111110927,0,0
2015,701000680,squid_jigger,2946.2327777777673,1080.064722222222,731.954027777778,348.1106944444446,0
2014,701030000,trawlers,3837.2497222222223,924.9722222222222,924.9722222222222,0,0
2015,701000916,trawlers,5241.192222222145,2353.228472222207,2353.228472222207,0,0
2015,701015000,trawlers,7443.24472222216,2682.891944444444,2535.5338888888896,0,0
2016,701006044,trawlers,8091.300138888675,2461.121944444408,2346.801944444412,114.32000000000002,0
2016,701000927,trawlers,5075.306527777731,751.3511111111111,627.7998611111113,123.55125000000002,0
2014,701000646,trawlers,4807.471666666663,2229.8629166666683,2229.8629166666683,0,0
2015,701079000,trawlers,4945.539999999921,2523.549166666647,2523.549166666647,0,0
2016,701006049,trawlers,2601.735833333334,792.5550000000001,792.5550000000001,0,0
2016,701000528,trawlers,5440.044027777687,2034.2476388888986,2034.2476388888986,0,0
2014,701000834,trawlers,6732.6275000000005,2131.3006944444487,2131.3006944444487,0,0
2016,701000899,trawlers,5860.568333332967,3188.740555555531,3188.740555555531,0,0
